Date	   Time		 Alfr_dir		  Register			 File_Name	  			    State	Total 
2023-02-07 09:44:39  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_35.pdf	sent 	_
2023-02-07 09:44:01  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_34.pdf	sent 	_
2023-02-07 09:42:29  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_33.pdf	sent 	_
2023-02-07 09:40:58  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_32.pdf	sent 	_
2023-02-07 09:40:47  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_31.pdf	sent 	_
2023-02-07 09:40:41  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_30.pdf	sent 	_
2023-02-07 09:40:36  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_29.pdf	sent 	_
2023-02-07 09:40:28  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_28.pdf	sent 	_
2023-02-07 09:39:58  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_27.pdf	sent 	_
2023-02-07 09:39:50  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_26.pdf	sent 	_
2023-02-07 09:39:42  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_25.pdf	sent 	_
2023-02-07 09:39:37  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_24.pdf	sent 	_
2023-02-07 09:39:29  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_23.pdf	sent 	_
2023-02-07 09:39:25  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_22.pdf	sent 	_
2023-02-07 09:39:19  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_21.pdf	sent 	_
2023-02-07 09:39:13  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_20.pdf	sent 	_
2023-02-07 09:39:08  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_19.pdf	sent 	_
2023-02-07 09:39:04  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_18.pdf	sent 	_
2023-02-07 09:38:56  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_17.pdf	sent 	_
2023-02-07 09:38:45  nanfack		  1987_CE0100_N_91	 1987_CE0100_N_91_24.pdf	sent 	_
2023-02-07 09:38:34  nanfack		  1987_CE0100_N_91	 1987_CE0100_N_91_23.pdf	sent 	_
2023-02-07 09:38:29  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_16.pdf	sent 	_
2023-02-07 09:38:03  nanfack		  1987_CE0100_N_91	 1987_CE0100_N_91_22.pdf	sent 	_
2023-02-07 09:37:59  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_15.pdf	sent 	_
2023-02-07 09:37:53  nanfack		  1987_CE0100_N_91	 1987_CE0100_N_91_21.pdf	sent 	_
2023-02-07 09:37:51  nanfack		  1987_CE0100_N_97	 1987_CE0100_N_97_14.pdf	sent 	_
2023-02-07 09:37:42  nanfack		  1987_CE0100_N_91	 1987_CE0100_N_91_20.pdf	sent 	_
2023-02-07 09:37:39  nanfack		  1987_CE0100_N_91	 1987_CE0100_N_91_19.pdf	sent 	_
